[0.81828537 0.18171463]
[0.98223989 0.01776011]
[0.51456297 0.48543703]
[0.06945117 0.93054883]
[0.95024019 0.04975981]
[0.82891648 0.17108352]
[0.43472036 0.56527964]
[0.69632934 0.30367066]
[0.7715011 0.2284989]
[0.78352366 0.21647634]
[0.46493852 0.53506148]
[0.48587113 0.51412887]
[0.4027988 0.5972012]
[0.84675347 0.15324653]
[0.84921629 0.15078371]
[0.68522723 0.31477277]
[0.74908321 0.25091679]
[0.5 0.5]
[0.87307913 0.12692087]
[0.81372447 0.18627553]
[0.95019191 0.04980809]
[0.72804988 0.27195012]
[0.93049291 0.06950709]
[0.21374296 0.78625704]
[0.87619743 0.12380257]
[0.78417296 0.21582704]
[0.71005675 0.28994325]
[0.36049703 0.63950297]
[0.6887927 0.3112073]
[0.52378401 0.47621599]
[0.7850908 0.2149092]
[0.36020956 0.63979044]
[0.93903812 0.06096188]
[0.61429081 0.38570919]
[0.95632521 0.04367479]
[0.74512933 0.25487067]
[0.87508381 0.12491619]
[0.30985068 0.69014932]
[0.8354638 0.1645362]
[0.97281548 0.02718452]
[0.79065756 0.20934244]
[0.5269239 0.4730761]
[0.44531348 0.55468652]
[0.73918657 0.26081343]
[0.89383508 0.10616492]
[0.44674366 0.55325634]
[0.84806494 0.15193506]
[0.83776467 0.16223533]
[0.85033228 0.14966772]
[0.85069213 0.14930787]
[0.95880347 0.04119653]
[0.55202767 0.44797233]
[0.81537528 0.18462472]
[0.56919036 0.43080964]
[0.49161722 0.50838278]
[0.64354375 0.35645625]
[0.53164328 0.46835672]
[0.33161984 0.66838016]
[0.0840684 0.9159316]
[0.77204319 0.22795681]
[0.85935146 0.14064854]
[0.76336572 0.23663428]
[0.84627902 0.15372098]
[0.43270694 0.56729306]
[0.91594712 0.08405288]
[0.45785593 0.54214407]
[0.4205935 0.5794065]
[0.41701871 0.58298129]
[0.87111985 0.12888015]
[0.68267598 0.31732402]
[0.30564988 0.69435012]
[0.61898301 0.38101699]
[0.43890698 0.56109302]
[0.96758976 0.03241024]
[0.90752767 0.09247233]
[0.34159833 0.65840167]
[0.822463 0.177537]
[0.93563394 0.06436606]
[0.73970532 0.26029468]
[0.40014324 0.59985676]
[0.35952834 0.64047166]
[0.45309455 0.54690545]
[0.48294711 0.51705289]
[0.3257441 0.6742559]
[0.67021113 0.32978887]
[0.60247382 0.39752618]
[0.96095769 0.03904231]
[0.22328423 0.77671577]
[0.84009477 0.15990523]
[0.69747302 0.30252698]
[0.8481085 0.1518915]
[0.79328525 0.20671475]
[0.6317245 0.3682755]
[0.55364203 0.44635797]
[0.72364818 0.27635182]
[0.43157265 0.56842735]
[0.45665188 0.54334812]
[0.5111737 0.4888263]
[0.78918812 0.21081188]
[0.62213264 0.37786736]
[0.21606987 0.78393013]
[0.388428 0.611572]
[0.56817041 0.43182959]
[0.89907146 0.10092854]
[0.90433207 0.09566793]
[0.33857269 0.66142731]
[0.97285326 0.02714674]
[0.857611 0.142389]
[0.92780301 0.07219699]
[0.68964109 0.31035891]
[0.88126807 0.11873193]
[0.44655318 0.55344682]
[0.72078972 0.27921028]
[0.53294235 0.46705765]
[0.31419621 0.68580379]
[0.67972382 0.32027618]
[0.73532927 0.26467073]
[0.19660445 0.80339555]
[0.36600283 0.63399717]
[0.1969318 0.8030682]
[0.86820207 0.13179793]
[0.28257226 0.71742774]
[0.42275528 0.57724472]
[0.23805855 0.76194145]
[0.35604989 0.64395011]
[0.7745038 0.2254962]
[0.40549504 0.59450496]
[0.16598541 0.83401459]
[0.8772521 0.1227479]
[0.93527684 0.06472316]
[0.33355735 0.66644265]
[0.88792677 0.11207323]
[0.86570781 0.13429219]
[0.74055599 0.25944401]
[0.25121759 0.74878241]
[0.3139183 0.6860817]
[0.82438038 0.17561962]
[0.53288967 0.46711033]
[0.92490099 0.07509901]
[0.27431538 0.72568462]
[0.67058855 0.32941145]
[0.65854109 0.34145891]
[0.86865444 0.13134556]
[0.7884788 0.2115212]
[0.94191181 0.05808819]
[0.94560033 0.05439967]
[0.50741045 0.49258955]
[0.9198319 0.0801681]
[0.79352339 0.20647661]
[0.36913716 0.63086284]
[0.92625926 0.07374074]
[0.4547302 0.5452698]
[0.10127366 0.89872634]
[0.78166057 0.21833943]
[0.96686854 0.03313146]
[0.86558892 0.13441108]
[0.49322358 0.50677642]
[0.55775072 0.44224928]
[0.35031399 0.64968601]
[0.38407925 0.61592075]
[0.62669726 0.37330274]
[0.59539349 0.40460651]
[0.86621274 0.13378726]
[0.89188068 0.10811932]
[0.6528188 0.3471812]
[0.55676281 0.44323719]
[0.17636615 0.82363385]
[0.89738996 0.10261004]
[0.66040781 0.33959219]
[0.72942631 0.27057369]
[0.89748135 0.10251865]
[0.8035829 0.1964171]
[0.68641211 0.31358789]
[0.88777313 0.11222687]
[0.94073792 0.05926208]
[0.2436242 0.7563758]
[0.84855717 0.15144283]
[0.70437539 0.29562461]
[0.54780662 0.45219338]
[0.48280836 0.51719164]
[0.98852708 0.01147292]
[0.61542135 0.38457865]
[0.27405799 0.72594201]
[0.85096865 0.14903135]
[0.30834869 0.69165131]
[0.64517723 0.35482277]
[0.30072686 0.69927314]
[0.35360761 0.64639239]
[0.17872994 0.82127006]
[0.38521105 0.61478895]
[0.94463788 0.05536212]
[0.11033564 0.88966436]
[0.60585473 0.39414527]
[0.71579037 0.28420963]
[0.1533262 0.8466738]
[0.85071533 0.14928467]
[0.22430702 0.77569298]
[0.45303163 0.54696837]
[0.75332546 0.24667454]
[0.90461018 0.09538982]
[0.13691373 0.86308627]
[0.04114361 0.95885639]
[0.97552522 0.02447478]
[0.78471089 0.21528911]
[0.06467129 0.93532871]
[0.82416802 0.17583198]
[0.4316394 0.5683606]
[0.67188921 0.32811079]
[0.66267229 0.33732771]
[0.35860934 0.64139066]
[0.78862113 0.21137887]
[0.90995672 0.09004328]
[0.42456702 0.57543298]
[0.21626075 0.78373925]
[0.90684577 0.09315423]
[0.36288315 0.63711685]
[0.82392959 0.17607041]
[0.22303044 0.77696956]
[0.56917169 0.43082831]
[0.40747094 0.59252906]
[0.88527724 0.11472276]
[0.20697325 0.79302675]
[0.83346017 0.16653983]
[0.35456247 0.64543753]
[0.61033935 0.38966065]
[0.55353918 0.44646082]
[0.9052364 0.0947636]
[0.74815378 0.25184622]
[0.80481879 0.19518121]
[0.65765886 0.34234114]
[0.94954724 0.05045276]
[0.30819822 0.69180178]
[0.82818509 0.17181491]
[0.15535038 0.84464962]
[0.7075617 0.2924383]
[0.72329716 0.27670284]
[0.5 0.5]
[0.88915462 0.11084538]
[0.33338195 0.66661805]
[0.92214026 0.07785974]
[0.88167374 0.11832626]
[0.61115231 0.38884769]
[0.9361928 0.0638072]
[0.515677 0.484323]
[0.99446445 0.00553555]
[0.59564485 0.40435515]
[0.5235663 0.4764337]
[0.96115519 0.03884481]
[0.92698092 0.07301908]
[0.92970952 0.07029048]
[0.60467452 0.39532548]
[0.68743286 0.31256714]
[0.87229101 0.12770899]
[0.65216596 0.34783404]
[0.6021036 0.3978964]
[0.47248206 0.52751794]
[0.92802042 0.07197958]
[0.36137152 0.63862848]
[0.82981473 0.17018527]
[0.82562165 0.17437835]
[0.63754935 0.36245065]
[0.79067372 0.20932628]
[0.30095206 0.69904794]
[0.80556673 0.19443327]
[0.15103264 0.84896736]
[0.83749332 0.16250668]
[0.3459722 0.6540278]
[0.29526926 0.70473074]
[0.75123745 0.24876255]
[0.50712579 0.49287421]
[0.24222173 0.75777827]
[0.65304865 0.34695135]
[0.97709738 0.02290262]
[0.83417761 0.16582239]
[0.30906497 0.69093503]
[0.74983339 0.25016661]
[0.22261058 0.77738942]
[0.86357386 0.13642614]
[0.40298619 0.59701381]
[0.86684153 0.13315847]
[0.94626737 0.05373263]
[0.54541177 0.45458823]
[0.29481276 0.70518724]
[0.99135897 0.00864103]
[0.8832931 0.1167069]
[0.87720948 0.12279052]
[0.85026755 0.14973245]
[0.59424135 0.40575865]
[0.85654356 0.14345644]
[0.54317834 0.45682166]
[0.94499002 0.05500998]
[0.73722062 0.26277938]
[0.5 0.5]
[0.92473956 0.07526044]
[0.94136079 0.05863921]
[0.31265622 0.68734378]
[0.61409039 0.38590961]
[0.33548167 0.66451833]
[0.96927542 0.03072458]
[0.63418203 0.36581797]
[0.47509213 0.52490787]
[0.82097528 0.17902472]
[0.41802874 0.58197126]
[0.84087555 0.15912445]
[0.03682071 0.96317929]
[0.45193001 0.54806999]
[0.73385072 0.26614928]
[0.12151357 0.87848643]
[0.54640034 0.45359966]
[0.43359687 0.56640313]
[0.44323826 0.55676174]
[0.8907238 0.1092762]
[0.50769599 0.49230401]
[0.68413843 0.31586157]
[0.79392456 0.20607544]
[0.87422635 0.12577365]
[0.98944928 0.01055072]
[0.54252896 0.45747104]
[0.17454033 0.82545967]
[0.94978615 0.05021385]
[0.67099726 0.32900274]
[0.88269143 0.11730857]
[0.92365691 0.07634309]
[0.83965928 0.16034072]
[0.67673942 0.32326058]
[0.89632716 0.10367284]
[0.37625897 0.62374103]
[0.21494536 0.78505464]
[0.29582645 0.70417355]
[0.98200653 0.01799347]
[0.74640835 0.25359165]
[0.0840897 0.9159103]
[0.19530926 0.80469074]
[0.93876471 0.06123529]
[0.71843413 0.28156587]
[0.11984153 0.88015847]
[0.24784186 0.75215814]
[0.78191349 0.21808651]
[0.68078106 0.31921894]
[0.87122182 0.12877818]
[0.56445579 0.43554421]
[0.86959169 0.13040831]
[0.81380742 0.18619258]
[0.91450693 0.08549307]
[0.47243273 0.52756727]
[0.6387157 0.3612843]
[0.65274761 0.34725239]
[0.704275 0.295725]
[0.11978225 0.88021775]
[0.61632915 0.38367085]
[0.9164647 0.0835353]
[0.97549916 0.02450084]
[0.8515438 0.1484562]
[0.56897017 0.43102983]
[0.95047964 0.04952036]
[0.82522666 0.17477334]
[0.41267312 0.58732688]
[0.71574598 0.28425402]
[0.72703673 0.27296327]
[0.81125598 0.18874402]
[0.83642388 0.16357612]
[0.49021608 0.50978392]
[0.86800006 0.13199994]
[0.27409101 0.72590899]
[0.61955015 0.38044985]
[0.81796088 0.18203912]
[0.80268172 0.19731828]
[0.10235605 0.89764395]
[0.45372055 0.54627945]
[0.91493561 0.08506439]
[0.24861671 0.75138329]
[0.33984059 0.66015941]
[0.86739944 0.13260056]
[0.27149634 0.72850366]
[0.47142828 0.52857172]
[0.97221447 0.02778553]
[0.48417699 0.51582301]
[0.79525922 0.20474078]
[0.64138614 0.35861386]
[0.45722415 0.54277585]
[0.98535526 0.01464474]
[0.91097809 0.08902191]
[0.59420728 0.40579272]
[0.72332546 0.27667454]
[0.73074933 0.26925067]
[0.3097004 0.6902996]
[0.299411 0.700589]
[0.94627284 0.05372716]
[0.65568544 0.34431456]
[0.56017121 0.43982879]
[0.9796113 0.0203887]
[0.1772792 0.8227208]
[0.42283737 0.57716263]
[0.94187076 0.05812924]
[0.80533731 0.19466269]
[0.15638128 0.84361872]
[0.21284789 0.78715211]
[0.70707861 0.29292139]
[0.75751909 0.24248091]
[0.57109812 0.42890188]
[0.94484849 0.05515151]
[0.567837 0.432163]
[0.18580133 0.81419867]
[0.2880515 0.7119485]
[0.95995774 0.04004226]
[0.74727553 0.25272447]
[0.37102492 0.62897508]
[0.08014528 0.91985472]
[0.51198905 0.48801095]
[0.95026584 0.04973416]
[0.74142934 0.25857066]
[0.77114093 0.22885907]
[0.28888704 0.71111296]
[0.72987271 0.27012729]
[0.81812389 0.18187611]
[0.11490709 0.88509291]
[0.60745038 0.39254962]
[0.5759626 0.4240374]
[0.81201755 0.18798245]
[0.78580958 0.21419042]
[0.72626086 0.27373914]
[0.63985765 0.36014235]
[0.11482336 0.88517664]
[0.31859588 0.68140412]
[0.17671566 0.82328434]
[0.92813403 0.07186597]
[0.90666501 0.09333499]
[0.91603783 0.08396217]
[0.9939491 0.0060509]
[0.87381862 0.12618138]
[0.8952254 0.1047746]
[0.35060301 0.64939699]
[0.3484277 0.6515723]
[0.23282401 0.76717599]
