[0.5222011 0.4777989]
[0.9835765 0.0164235]
[0.64228635 0.35771365]
[0.01428414 0.98571586]
[0.96843969 0.03156031]
[0.80935151 0.19064849]
[0.24557332 0.75442668]
[0.893264 0.106736]
[0.64782987 0.35217013]
[0.88520446 0.11479554]
[0.09893151 0.90106849]
[0.09163587 0.90836413]
[0.16597707 0.83402293]
[0.94117526 0.05882474]
[0.85739394 0.14260606]
[0.57492268 0.42507732]
[0.75110515 0.24889485]
[0.05084882 0.94915118]
[0.93853738 0.06146262]
[0.86486867 0.13513133]
[0.94882688 0.05117312]
[0.62463736 0.37536264]
[0.91120727 0.08879273]
[0.0162463 0.9837537]
[0.85358511 0.14641489]
[0.64005762 0.35994238]
[0.84440833 0.15559167]
[0.48633062 0.51366938]
[0.81857291 0.18142709]
[0.73055269 0.26944731]
[0.88159333 0.11840667]
[0.06027916 0.93972084]
[0.97481561 0.02518439]
[0.41883767 0.58116233]
[0.94408944 0.05591056]
[0.52046304 0.47953696]
[0.91393732 0.08606268]
[0.51728768 0.48271232]
[0.9660951 0.0339049]
[0.97300799 0.02699201]
[0.55518325 0.44481675]
[0.27493308 0.72506692]
[0.38074151 0.61925849]
[0.63521255 0.36478745]
[0.84631804 0.15368196]
[0.59361232 0.40638768]
[0.90896198 0.09103802]
[0.68970373 0.31029627]
[0.36253763 0.63746237]
[0.96644098 0.03355902]
[0.86473553 0.13526447]
[0.88854385 0.11145615]
[0.61533144 0.38466856]
[0.91738033 0.08261967]
[0.58995793 0.41004207]
[0.65992548 0.34007452]
[0.2279276 0.7720724]
[0.36761457 0.63238543]
[0.07176885 0.92823115]
[0.80654113 0.19345887]
[0.82349245 0.17650755]
[0.31016369 0.68983631]
[0.80759309 0.19240691]
[0.11513031 0.88486969]
[0.97520685 0.02479315]
[0.80295949 0.19704051]
[0.24178959 0.75821041]
[0.48122643 0.51877357]
[0.8805272 0.1194728]
[0.90380335 0.09619665]
[0.21540223 0.78459777]
[0.83194062 0.16805938]
[0.47814648 0.52185352]
[0.96036942 0.03963058]
[0.96620599 0.03379401]
[0.21408819 0.78591181]
[0.86672176 0.13327824]
[0.86113364 0.13886636]
[0.87350676 0.12649324]
[0.25597308 0.74402692]
[0.29349528 0.70650472]
[0.5051749 0.4948251]
[0.12985965 0.87014035]
[0.30283279 0.69716721]
[0.82265237 0.17734763]
[0.31118625 0.68881375]
[0.87179105 0.12820895]
[0.03125128 0.96874872]
[0.81823684 0.18176316]
[0.91424833 0.08575167]
[0.74190462 0.25809538]
[0.8359872 0.1640128]
[0.73140109 0.26859891]
[0.20341157 0.79658843]
[0.74626824 0.25373176]
[0.28242139 0.71757861]
[0.58089835 0.41910165]
[0.1302706 0.8697294]
[0.87255741 0.12744259]
[0.20633512 0.79366488]
[0.02597721 0.97402279]
[0.23788778 0.76211222]
[0.17994562 0.82005438]
[0.97259491 0.02740509]
[0.84904749 0.15095251]
[0.37624868 0.62375132]
[0.84883807 0.15116193]
[0.76783562 0.23216438]
[0.61075379 0.38924621]
[0.72370104 0.27629896]
[0.6775256 0.3224744]
[0.29416774 0.70583226]
[0.4255972 0.5744028]
[0.58537104 0.41462896]
[0.54942015 0.45057985]
[0.14649355 0.85350645]
[0.93936541 0.06063459]
[0.09849948 0.90150052]
[0.24120718 0.75879282]
[0.27112494 0.72887506]
[0.65891283 0.34108717]
[0.15010105 0.84989895]
[0.62890722 0.37109278]
[0.14818955 0.85181045]
[0.1458166 0.8541834]
[0.829708 0.170292]
[0.24701153 0.75298847]
[0.0599472 0.9400528]
[0.65283873 0.34716127]
[0.83910725 0.16089275]
[0.28502198 0.71497802]
[0.7351284 0.2648716]
[0.95384138 0.04615862]
[0.83594379 0.16405621]
[0.02118043 0.97881957]
[0.40238469 0.59761531]
[0.57465211 0.42534789]
[0.36426745 0.63573255]
[0.78435705 0.21564295]
[0.18356231 0.81643769]
[0.42893414 0.57106586]
[0.84555683 0.15444317]
[0.86020326 0.13979674]
[0.67879406 0.32120594]
[0.89433891 0.10566109]
[0.94676083 0.05323917]
[0.49440397 0.50559603]
[0.93134652 0.06865348]
[0.89245798 0.10754202]
[0.17130077 0.82869923]
[0.96240921 0.03759079]
[0.15148842 0.84851158]
[0.05059878 0.94940122]
[0.51624637 0.48375363]
[0.87551307 0.12448693]
[0.74118334 0.25881666]
[0.90830685 0.09169315]
[0.41221263 0.58778737]
[0.21237868 0.78762132]
[0.13270367 0.86729633]
[0.35136595 0.64863405]
[0.35317807 0.64682193]
[0.89685268 0.10314732]
[0.97947811 0.02052189]
[0.83029828 0.16970172]
[0.52244087 0.47755913]
[0.36905719 0.63094281]
[0.89839189 0.10160811]
[0.49406447 0.50593553]
[0.85903698 0.14096302]
[0.9251364 0.0748636]
[0.70045369 0.29954631]
[0.44992384 0.55007616]
[0.89413747 0.10586253]
[0.94592513 0.05407487]
[0.32222449 0.67777551]
[0.94958502 0.05041498]
[0.93859092 0.06140908]
[0.35036805 0.64963195]
[0.15631332 0.84368668]
[0.94014794 0.05985206]
[0.57913024 0.42086976]
[0.06984741 0.93015259]
[0.76851231 0.23148769]
[0.04474458 0.95525542]
[0.62204044 0.37795956]
[0.18423904 0.81576096]
[0.05013524 0.94986476]
[0.11268661 0.88731339]
[0.43648277 0.56351723]
[0.84713752 0.15286248]
[0.21563244 0.78436756]
[0.40475785 0.59524215]
[0.94921633 0.05078367]
[0.04236702 0.95763298]
[0.83608181 0.16391819]
[0.01851465 0.98148535]
[0.41915339 0.58084661]
[0.82196255 0.17803745]
[0.91567839 0.08432161]
[0.0295342 0.9704658]
[0.06287447 0.93712553]
[0.98704653 0.01295347]
[0.90057934 0.09942066]
[0.02197241 0.97802759]
[0.94590533 0.05409467]
[0.07552105 0.92447895]
[0.71631233 0.28368767]
[0.71479357 0.28520643]
[0.03144875 0.96855125]
[0.68634055 0.31365945]
[0.89521887 0.10478113]
[0.0342379 0.9657621]
[0.15749986 0.84250014]
[0.76251887 0.23748113]
[0.09444649 0.90555351]
[0.83937194 0.16062806]
[0.06538807 0.93461193]
[0.38786469 0.61213531]
[0.22386395 0.77613605]
[0.90357995 0.09642005]
[0.02781639 0.97218361]
[0.8498772 0.1501228]
[0.14194948 0.85805052]
[0.5 0.5]
[0.49204865 0.50795135]
[0.93258397 0.06741603]
[0.56549208 0.43450792]
[0.88041857 0.11958143]
[0.6625356 0.3374644]
[0.94537345 0.05462655]
[0.65290433 0.34709567]
[0.92145242 0.07854758]
[0.04064783 0.95935217]
[0.8826572 0.1173428]
[0.63413656 0.36586344]
[0.35302677 0.64697323]
[0.86346044 0.13653956]
[0.40125961 0.59874039]
[0.90908582 0.09091418]
[0.787015 0.212985]
[0.6166763 0.3833237]
[0.95899614 0.04100386]
[0.70118047 0.29881953]
[0.98667098 0.01332902]
[0.40368762 0.59631238]
[0.73094866 0.26905134]
[0.90064814 0.09935186]
[0.16764371 0.83235629]
[0.96853905 0.03146095]
[0.87413454 0.12586546]
[0.88820723 0.11179277]
[0.94684175 0.05315825]
[0.41675026 0.58324974]
[0.10273532 0.89726468]
[0.43006669 0.56993331]
[0.91033171 0.08966829]
[0.14890691 0.85109309]
[0.81884222 0.18115778]
[0.72447748 0.27552252]
[0.6027783 0.3972217]
[0.9436287 0.0563713]
[0.13942592 0.86057408]
[0.37767301 0.62232699]
[0.06419572 0.93580428]
[0.77478368 0.22521632]
[0.25391865 0.74608135]
[0.05040405 0.94959595]
[0.8946486 0.1053514]
[0.22154435 0.77845565]
[0.5507407 0.4492593]
[0.78844022 0.21155978]
[0.91193636 0.08806364]
[0.84757169 0.15242831]
[0.39635544 0.60364456]
[0.9322621 0.0677379]
[0.46342886 0.53657114]
[0.93858123 0.06141877]
[0.66609568 0.33390432]
[0.75743846 0.24256154]
[0.91056516 0.08943484]
[0.37149219 0.62850781]
[0.11450924 0.88549076]
[0.89560283 0.10439717]
[0.91361982 0.08638018]
[0.97875345 0.02124655]
[0.86320517 0.13679483]
[0.8586448 0.1413552]
[0.96482592 0.03517408]
[0.38384755 0.61615245]
[0.94575635 0.05424365]
[0.6092888 0.3907112]
[0.35321377 0.64678623]
[0.97058479 0.02941521]
[0.89800751 0.10199249]
[0.18113783 0.81886217]
[0.75484956 0.24515044]
[0.21607378 0.78392622]
[0.96346711 0.03653289]
[0.62593399 0.37406601]
[0.59638701 0.40361299]
[0.5894049 0.4105951]
[0.60891182 0.39108818]
[0.81527034 0.18472966]
[0.00982956 0.99017044]
[0.46920166 0.53079834]
[0.70462016 0.29537984]
[0.08054955 0.91945045]
[0.40216705 0.59783295]
[0.39527352 0.60472648]
[0.27483028 0.72516972]
[0.89741217 0.10258783]
[0.27562064 0.72437936]
[0.87846351 0.12153649]
[0.66628456 0.33371544]
[0.81282691 0.18717309]
[0.95775886 0.04224114]
[0.25056227 0.74943773]
[0.00709222 0.99290778]
[0.95861889 0.04138111]
[0.82862604 0.17137396]
[0.95302251 0.04697749]
[0.87859021 0.12140979]
[0.66915875 0.33084125]
[0.45055403 0.54944597]
[0.97277628 0.02722372]
[0.19990428 0.80009572]
[0.15423807 0.84576193]
[0.16190771 0.83809229]
[0.92736647 0.07263353]
[0.9506319 0.0493681]
[0.03411831 0.96588169]
[0.18810715 0.81189285]
[0.87685227 0.12314773]
[0.91075437 0.08924563]
